Assignee,verdict,statement_originator,statement,questions to verify the statement,statement_date,context,factchecker,factcheck_date,factcheck_analysis_link,Gold Label,Reasoning
,FALSE,Grok AI,"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",,2025-01-04,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/07/grok-ai/grok-said-biden-rescinded-a-medal-of-freedom-from/,,"President Joe Biden awarded the U.S.’ highest civilian honor, the Presidential Medal of Freedom, to 19 people, including former U.S. Secretary of State Hillary Clinton; philanthropist George Soros; actors Michael J. Fox and Denzel Washington; and fashion industry figures Ralph Lauren and Anna Wintour. A social media user seemed to take grievance with the recipients and called on President-elect Donald Trump to revoke their awards. ""President Trump @realDonaldTrump can and must rescind all Presidential Medals of Freedom given to the Enemies of America,"" a Jan. 4 X post read. The user attached an answer by Grok, X’s generative artificial intelligence chatbot, which provided a supposed precedent for such an action. The query that prompted the conversation with Grok read: ""Can a president rescind the medal of freedom?"" ""Yes, a president can rescind the Presidential Medal of Freedom. While it is rare, there have been instances where a president has revoked this honor,"" Grok answered. ""For example, President Joe Biden revoked the Medal of Freedom awarded to former President Donald Trump's campaign manager, Bradley Birkenfeld, in 2021. The decision to rescind such an honor typically involves significant controversy or actions by the recipient that are seen as contrary to the values the medal represents."" Grok’s answer was also shared in a Jan. 4 Instagram post, which was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Meta, which owns Facebook, Instagram and Threads.) Sign up for PolitiFact texts Grok’s response contained four inaccuracies: Birkenfeld, a whistleblower, felon and former banker never received the Presidential Medal of Freedom. Therefore, Biden could not have revoked it. Birkenfeld also wasn’t Trump’s campaign manager. Finally, no president has ever rescinded the medal. PolitiFact contacted X for comment but has not heard back. PolitiFact repeated the query to Grok on Jan. 6, and it gave a more detailed answer. It did not repeat the claim. Birkenfeld, a former banker for Swiss bank UBS, was imprisoned for his role in helping an American billionaire evade taxes. The IRS later gave him a $104 million whistleblower award, but no president awarded him the Presidential Medal of Freedom. PolitiFact found no news reports or documents that proved he worked as Trump’s campaign manager. Searches for connections between Birkenfeld and Trump surfaced a 2021 report by The Atlantic about how Trump’s former campaign manager Corey Lewandowski offered Birkenfeld’s associate a deal to secure a presidential pardon in exchange for a fee. Birkenfeld said he declined the offer. In 2015, after women accused actor and 2002 Presidential Medal of Freedom recipient Bill Cosby of sexual assault, a reporter asked former President Barack Obama whether he would revoke Cosby’s Medal of Freedom. Obama said there was no precedent and no mechanism to revoke the award. Rep. Paul Gosar, R-Ariz., introduced bills in the 114th Congress and 115th Congress to affirm the president’s power to revoke Cosby’s medal and to penalize anyone who ""wears or publicly displays a Presidential Medal of Freedom that has been revoked."" The bills weren’t passed. On its website, xAI, the company that developed Grok, says, ""Grok may provide inaccurate or inappropriate information. Since Grok has been trained on publicly available information, it can confidently provide misleading or factually incorrect information."" It tells users to ""carefully consider and verify Grok’s responses."" Biden did not revoke the Presidential Medal of Freedom for Birkenfeld; Birkenfeld had no medal to revoke. We rate that claim FALSE!"
,HALF TRUE,Dana Loesch,Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,,2025-01-06,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/17/dana-loesch/are-north-carolinas-helene-victims-still-required/,,"Some social media users are angry that North Carolina property owners must still pay full taxes on properties that were damaged after Hurricane Helene. The September storm was the deadliest and most damaging in state history. It brought 30 inches of rain, caused more than 1,400 landslides, and damaged about 74,000 homes in western North Carolina — where only about 5% of victims have flood insurance, according to an estimate by the state’s budget director. In a Jan. 6 X post, Buncombe County reminded residents to pay their 2024 property taxes before they become delinquent — prompting outrage from some users of the platform. ""This county is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply,"" Dana Loesch, a conservative radio show host, told her 1 million X followers in a post. Other X users posted similar responses, suggesting that Buncombe should waive or reduce property taxes for people affected by Helene. Sign up for PolitiFact texts A viewer emailed WRAL-TV, PolitiFact’s North Carolina partner, asking if it’s true that Buncombe County and other counties in North Carolina are collecting taxes on Helene-damaged properties. The county is indeed collecting taxes. But Loesch’s focus on Buncombe makes it seem as though the county is doing something out of line. In fact, Buncombe — and other North Carolina counties that are collecting taxes — are acting in accordance with state law. Although receiving a hefty tax bill may feel like a bitter pill following the disaster of losing one’s property, the reality of the state’s taxation system gives counties little flexibility. Properties are taxed based on what their assessed values were as of Jan. 1 of that year. Buncombe County properties were last assessed in 2021 and those values are still in place. That means the damages from Helene aren’t reflected in the most recent tax bills. And they won’t be reflected until updated assessments are applied. Loesch and others on social media implied that Buncombe County should waive or change a property owners’ bill for 2024. State law prevents counties from doing that, so Buncombe officials can’t give Helene victims a break on their 2024 property tax bill — even if they wanted to. There’s an appeals process, but the deadline for that ended before Helene hit. Buncombe County officials are encouraging property owners to tell the county about damage to their properties, so that it can be reflected in the next assessment. What property owners are being taxed on Loesch wrote that properties are being taxed on assessments that ""no longer apply."" The property’s value as of Jan. 1 still applies to a property owner’s 2024 tax bill — even if it doesn’t reflect the current market value, or what someone might be willing to pay by the end of the year. Loesch didn’t respond to our questions about her statement. Here’s how the taxing process works: Counties assess the values of the properties within their borders. The assessments take into account recent comparable sales and other market factors into consideration. Property taxes are based on the assessed property value that is in place on Jan. 1 of that year, as well as the county’s tax rate. Most tax bills don’t go out until late summer, after the county’s property tax rate is set, and property owners have about three months to pay their tax bills. The bills are considered delinquent and can accrue interest if not paid before Jan. 6 (which is why Buncombe posted reminders on social media that day). Because properties are taxed based on their assessed value as of Jan. 1, damage from Helene doesn’t factor into the 2024 tax bill. Dia Harris, a North Carolina Department of Revenue spokesperson, told PolitiFact that the agency regularly fields questions from property owners about how disasters might affect their tax bill. ""A property owner whose residence is lost to fire during the calendar year will still be responsible for payment of taxes that are due on the property for that year,"" Harris said. ""And the bill must be based on the full value of the property’s condition as of Jan. 1 of that year."" Why are taxes based on a property’s value as of Jan. 1, as opposed to another date? The Jan. 1 date is set by state law and provides county governments with some insight into the size of their tax base, which is helpful for county leaders as they set the next fiscal year spending plan, said Chris McLaughlin, a professor of public law and government at UNC-Chapel Hill who posted about the issue in a Oct. 11 blog entry. If values go down after an assessment, for instance, county leaders might consider raising the tax rate to make up for lost revenue. State legislators ""chose Jan. 1 presumably because it is well in advance of the start of the fiscal year (July 1) for which taxes will be levied,"" McLaughlin told PolitiFact in an email. ""This provides the local government with some certainty about the size of its tax base (although there will be minor changes due to appeals) so it can accurately budget and decide upon a property tax rate before the fiscal year begins."" Counties can’t offer property tax exemptions Some social media posts suggested that Buncombe County should waive or postpone property tax bills. However, state law prohibits counties from doing that. The law reads: ""The governing body of a taxing unit is prohibited from releasing, refunding, or compromising all or any portion of the taxes levied against any property within its jurisdiction except as expressly provided in this subchapter."" Unless state legislators change the law, ""local governments may not waive property taxes as a response to a natural disaster,"" McLaughlin said. If Helene victims want immediate property tax relief, he said ""they should talk to their local representatives and tell them to pass a bill."" In the meantime, Buncombe is offering assistance in other ways. The county offers payment plans to property owners who want to avoid paying their tax bill in one lump sum. The county also offers financial assistance to low-income households in areas where increasing property value outpaces income. In advance of the 2025 tax bill, Buncombe officials are asking residents to inform them of any damage sustained to their properties. The county’s website features a banner: ""Please report damage to your home or property caused by Hurricane Helene."" Clicking the banner opens a form that Buncombe residents can fill out online and submit to the county. ""Property that is damaged as of Jan. 1, 2025, will see a reduction in 2025’s taxable value,"" said Kassi Day, a Buncombe County spokesperson. ""Our assessment team has been working hard to survey damaged areas so values can be updated to reflect the current situation."" Buncombe officials are also taking action that could limit the effect of property taxes in 2025. The county was scheduled to conduct a revaluation in 2025 — taking into account how market values have risen over the last four years. Buncombe’s Board of Commissioners recently voted to delay the county’s reappraisal of properties, allowing the 2025 values to remain based on 2021 market assessments. Our ruling Loesch said Buncombe County ""is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply."" Buncombe and other counties are collecting taxes on properties even if they were damaged by Helene. But it’s inaccurate to suggest that the damage from Helene is relevant to the 2024 tax bill, which in North Carolina is based on a property’s assessed value as of Jan. 1, 2024 — months before Helene made landfall. Properties that lost value because of damage from Helene could see that reflected on their tax bill due in 2025, Buncombe officials said. Loesch and others on social media implied that Buncombe County should waive or change a property owners’ bill for 2024. Generally speaking, state law prevents counties from doing that. Loesch’s statement is partially accurate but leaves out important details that might influence someone’s understanding of the situation. We rate it Half True."
,FALSE,X posts,“FEMA spent billions on illegal immigrants and now has no money for California!”,,2025-01-08,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/10/tweets/fema-didnt-spend-all-its-money-on-immigrants-it-ha/,,"As firefighters struggled to douse Southern California’s blazes, social media posts claimed the Federal Emergency Management Agency’s disaster response coffers had run dry. ""FEMA spent billions on illegal immigrants and now has no money for California!"" a Jan. 8 X post said. ""Think the fires are bad? Wait until the people who lost everything find out FEMA ran out of money because they literally gave it to illegals,"" read an Instagram post the same day. The Instagram post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Meta, which owns Facebook, Threads and Instagram.) The claims echoed October statements from President-elect Donald Trump, who falsely asserted following Hurricane Helene that the Biden administration had raided FEMA to pay for migrants. On Jan. 8, as California houses burned, Trump repeated his description of a penniless FEMA unable to help: Sign up for PolitiFact texts ""No water in the fire hydrants, no money in FEMA. This is what Joe Biden is leaving me. Thanks Joe!"" Trump wrote on TruthSocial. But FEMA isn’t broke. On Dec. 21, President Joe Biden averted a government shutdown by signing a federal spending bill that directed $29 billion to FEMA’s Disaster Relief Fund, part of a broader $100 billion package for disasters in general. This came after calls for increased funding in the aftermath of Hurricanes Helene and Milton that struck the southeastern U.S. in September and October, respectively. Biden on Jan. 8 also approved California Gov. Gavin Newsom’s request for a major disaster declaration, a move that makes federal resources, including funding, readily available. A FEMA spokesperson told PolitiFact on Jan. 8 that Congress’ federal spending bill provided the agency with the funding and resources it needs to respond to California’s disaster. The Disaster Relief Fund balance is now about $27 billion, the spokesperson said. Congress funds migrant and disaster relief programs separately. And Trump’s administration, not Biden’s, shifted FEMA funding — including money from the Disaster Relief Fund — to address immigration. Starting in 2019, during Trump’s first term, Congress allocated money to FEMA to include some migrants in its Emergency Food and Shelter Program, which had previously been used only for people dealing with hunger and homelessness. The FEMA money was sent to local and state governments and nonprofit organizations to provide services to immigrants officials had released into the U.S. to await court proceedings. Trump’s term also saw the transfer of about $155 million from FEMA’s Disaster Relief Fund to Immigration and Customs Enforcement in 2019 for the detainment of migrants. In 2023, Congress also directed FEMA and Customs and Border Protection to create the Shelter and Services Program to support nonfederal entities that offered shelter for migrants after they are released from the Department of Homeland Security. That program phased out support for migrants that drew from the Emergency Food and Shelter Program and its funding is allocated to Customs and Border Patrol but administered by FEMA. FEMA has previously addressed claims that its disaster relief funds have been diverted to immigration issues. ""This is false,"" the agency said in an Oct. 3 statement. ""Disaster Relief Fund money has not been diverted to other, non-disaster related efforts."" Joshua Sewell, research and policy director at Taxpayers for Common Sense, told PolitiFact in October, ""The Disaster Relief Fund has nothing to do with any migrant assistance account because all that spending is from separate funds."" We rate the claim that ""FEMA spent billions on illegal immigrants and now has no money for California"" Pants on Fire! PolitiFact Staff Writer Maria Ramirez Uribe and Senior Correspondent Amy Sherman contributed to this report."
,TRUE,Robin Vos,"Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",,2025-01-08,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/23/robin-vos/wisconsin-republicans-say-voter-id-laws-are-suppor/,,"Wisconsinites will soon have a chance to weigh in on the state’s voter ID law. The April 1 ballot will include a referendum question asking if the voter ID requirement should be enshrined in the state constitution. At a Jan. 8 news conference announcing the referendum, Republicans argued the majority of the public — including in Wisconsin — supports requiring voters to show their ID before getting a ballot. Assembly Speaker Robin Vos said the referendum will allow voters an ""opportunity to give us their final say on something that is supported, if you look at any poll, by 70 to 80% of the public."" If the referendum fails, Wisconsin’s voter ID law would still remain in place. If passed, it would elevate the law to the state constitution, making it harder for the state Supreme Court to overturn it or future lawmakers to repeal it. ""The left has chosen one of the most extreme liberals to run for the state Supreme Court,"" Vos added, referring to Susan Crawford, who as an attorney represented plaintiffs challenging the voter ID law. Sign up for PolitiFact texts ""When 80% of the public in Wisconsin is in favor of an idea, I don’t know who would be afraid of that, except the person who’s with the 20% and is on the ballot,"" he said. So, Republicans are also saying this level of support exists in Wisconsin, not just nationwide. Let’s look at the most recent polling available. Nationwide surveys from 2024 found support even above 80% When PolitiFact Wisconsin contacted Vos’ office, his chief of staff, Jenny Toftness, pointed us to two polls, including a nationwide one Gallup released in October 2024. That poll found 84% of the public supports requiring voters to provide photo identification at their polling place, with 15% opposed. That support breaks down into 98% of Republicans who favor voter ID, compared to 84% of independents and 67% of Democrats, Gallup found. The poll randomly sampled more than 1,000 adults living in all 50 states and the District of Columbia, according to its methodology section. PolitiFact Wisconsin also looked at a similar poll conducted by the Pew Research Center, which state Rep. Scott Krug, R-Nekoosa, cited at the news conference. That poll was released in February 2024. That poll showed 81% support requiring government-issued photo identification to vote, with 18% opposed. That includes 95% of Republicans and 69% of Democrats. Marquette last polled Wisconsinites on voter ID in 2021, found 74% support Vos’ office also referenced the Marquette University Law School poll, considered one of the nations highest-quality polls. Marquette asked the following question across multiple polls in 2012, 2014 and 2021: ""Do you favor or oppose requiring a government-issued photo ID to vote?"" In a poll of Wisconsin registered voters released Aug. 11, 2021, 74% favored voter ID, and 21% opposed it. Five percent didn’t know, and 1% refused to answer. When broken down by party, support was at 92% among Republicans, 71% among independents and 55% among Democrats. Interestingly, 74% is a higher measure of support than when the Marquette poll asked the same question multiple times in 2012 and 2014. Support hovered around 60% for most of that period, dropping as low as 58% in a October 2014 poll, and reaching as high as 66% in January 2012, the first time the question was asked. Former Gov. Scott Walker signed the voter ID law in 2011, but it didn’t take effect until the 2016 presidential election cycle because of court challenges. Although that data is more than 3 years old, Republicans are still referencing the most up-to-date polling in Wisconsin, because Marquette hasn’t asked the question since 2021. Our ruling Vos said ""70 to 80% of the public"" in Wisconsin and the country supports requiring photo identification to vote. National polling from Pew and Gallup released in 2024 shows more than 80% of the public supports voter ID, including majorities of Democrats. The Marquette poll last asked about voter ID in 2021 and found support was at 74%, a jump from 2012 and 2014. Vos at one point said 80% of Wisconsinites support voter ID. That’s rounding up quite a bit, but he said 70% to 80% earlier in the press conference. And 74% is in the middle of that range. We rate his claim True."
,MOSTLY FALSE,JD Vance,"“Some of these (California) reservoirs have been dry for 15, 20 years.""",,2025-01-12,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/17/jd-vance/fact-check-have-some-california-reservoirs-been-cl/,,"Asked about the emergency response to California’s wildfires, Republican Vice President-elect JD Vance criticized the state’s Democratic governor for making ""very bad decisions over a very long period of time,"" and pointed to the condition of the state’s reservoirs as an example. ""Some of these reservoirs have been dry for 15, 20 years,"" Vance said on Fox News Sunday as he spoke about Gov. Gavin Newsom. ""The fire hydrants are being reported as going dry while the firefighters are trying to put out these fires. There is a serious lack of competent governance in California, and I think it’s part of the reason why these fires have gotten so bad."" During the height of fighting the Palisades fire on Jan. 7 and Jan. 8, water demand outpaced the amount of water flowing to hydrants, and some hydrants went dry. A nearby city reservoir was empty for repairs when the fire broke out, the Los Angeles Times reported Jan. 10. But Vance’s description of decades-long dry reservoirs is misleading. Experts on California’s water management told us they were not aware of any major reservoir that has been dry for 15 years or more. The state-managed reservoirs in Southern California are, in general, at or above their historic average storage for January. The Santa Ynez reservoir that supplies drinking water to Los Angeles’ local system has been empty since February 2024 because it needed repairs. The reservoir can hold up to 117 million gallons. But it’s managed by the Los Angeles Department of Water and Power, not the state, and it’s used primarily for drinking water. Sign up for PolitiFact texts Had the reservoir been full, it may have supplied more water pressure to the Pacific Palisades during the height of the firefighting and slowed the rate at which hydrants ran dry, said Steve Margulis, the Department of Civil and Environmental Engineering chair at the University of California, Los Angeles. But that reservoir hasn’t been closed for 15 years, so it’s unclear which reservoirs Vance was referring to. California has close to 1,500 surface reservoirs, a 2018 Public Policy Institute of California Water Policy Center report said. Most are small and managed by local governments, said Jay Lund, the vice director of the Center for Watershed Sciences and a civil and environmental engineering professor at the University of California, Davis. Some reservoirs are intentionally left at low levels or empty, Lund said, because they’re used for flood control. But those reservoirs fill during heavy rainfall to prevent flooding. It’s possible that a local reservoir somewhere in the state has been shut down for several years, but we did not find an example, and President-elect Donald Trump and Vance’s transition team did not provide examples when PolitiFact reached out for comment. ""I am sure there are very small reservoirs that have been empty for some time, for one reason or another,"" said Thomas Harter, a hydrology professor at the University of California, Davis. ""No major reservoirs have been empty for that long."" Small reservoirs that serve local areas outside of Los Angeles have no relation to the city’s water system. Los Angeles’ water comes from local aqueducts, groundwater and water purchased from Southern California’s Metropolitan Water District. The water district’s water is supplied by the Colorado River, groundwater and the State Water Project that moves water from the north to the dryer southern end. State Water Project Deputy Director John Yarbrough said in a statement to PolitiFact that there are ""no dry reservoirs in the State Water Project system."" Most of the major reservoirs tracked by the California Department of Water Resources are at or above their historic average storage. In a Jan. 12 interview with NBC News, Newsom rebutted Trump’s criticisms of Northern California water management and described Southern California’s reservoirs as ""completely full."" Although the nearby state reservoirs aren’t completely full, they’re close. The state-managed reservoirs in Southern California have stores above 75% of their total capacity. Newsom’s critics accused the governor of misleading by not mentioning the local empty Santa Ynez reservoir. After the interviewer noted the empty local reservoir, Newsom said, correctly, that the reservoir is not related to the state and federal water management system that Trump criticized early in the wildfire response. Newsom on Jan. 10 called for an investigation into why the Santa Ynez reservoir was empty when the Palisades fire broke out. The Los Angeles Department of Water and Power said in a Jan. 11 press release it will conduct an investigation into water resiliency and how to better respond to climate-related disasters. Regardless of the amount of water in the pipes, though, hydrants and local water infrastructure are built for routine structure fires, not large wildfires that consume entire neighborhoods. The water may have slowed the fire in some places, but experts said it likely would not have dramatically contained the fire. Margulis told us it’s unclear how much that extra water would have helped, and the reservoir’s absence should be part of a post-fire investigation. ""Any additional reservoir would have helped maintain supply and pressure in the area that draws water from it for a longer period of time, but to what extent remains to be determined,"" he said. ""However, given the conditions, once the fire was ignited and started to spread quickly, it is unlikely that the extra supply would have made a major difference in containing it."" The Department of Water and Power in February 2024 shut down the Santa Ynez reservoir because of damage to its cover. The reservoir supplies drinking water to the city, so it’s subject to environmental regulations to prevent contamination. The department said the repairs are ""subject to the city charter’s competitive bidding process which requires time."" The Los Angeles Times reported a $130,000 contract was issued to a Lakeside firm to repair the cover. Upcoming investigations may determine that local government or management shortcomings contributed to a delay in repairing the reservoir. But the reservoir was shut down for less than a year, not 15 years or more. And it’s not indicative of a statewide problem with reservoirs. Our ruling Vance said that some reservoirs in California ""have been dry for 15, 20 years."" Experts said that statewide, there are no major reservoirs that have been dry for more than 15 years, and most of California’s reservoirs are above their historic average storage. One reservoir that supplies water to the Pacific Palisades area has been shut down for nearly a year, and that may have eased the water pressure shortage during the height of the firefighting. But Vance’s statement is exaggerated. It contains an element of truth, but ignores critical facts. That’s our definition for Mostly False."
,FALSE,Donald Trump Jr.,California wildfires have “nothing to do with climate change.”,,2025-01-13,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/21/donald-trump-jr/los-angeles-wildfires-were-worsened-by-climate-cha/,,
,FALSE,Joe Biden,"""The Equal Rights Amendment has become part of our Constitution.""",,2025-01-17,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/22/joe-biden/bidens-false-claim-that-the-equal-rights-amendment/,,
,MOSTLY TRUE,Lisa Murkowski,"""Our nation’s tallest mountain … has been called Denali for thousands of years.""",,2025-01-20,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/23/lisa-murkowski/us-highest-mountain-called-denali-for-thousands-of/,,"President William McKinley may never have set foot in Alaska but one of President Donald Trump’s first executive actions upon reentering the White House was to reestablish its most famous mountain — North America’s tallest — as McKinley’s namesake. The mountain was called Mount McKinley from 1917 to 2015, when the Obama administration renamed it Denali. The Obama-era change followed decades of requests from Native Alaskan leaders for the mountain’s native name ‘Denali,’ a Koyukon Athabaskan word meaning ""the tall one,"" ""the high one"" or ""the great one"" to be restored. In his Jan. 20 order, Trump called the name change to Denali an ""affront to President McKinley’s life, his achievements, and his sacrifice."" The national park where the mountain is found will continue to be called Denali National Park and Preserve, Trump’s order said. Sen. Lisa Murkowski, R-Alaska, for years has argued to keep the name Denali and criticized Trump’s move. Sign up for PolitiFact texts ""I strongly disagree with the President’s decision on Denali,"" Murkowski said in a Jan. 20 X post. ""Our nation’s tallest mountain, which has been called Denali for thousands of years, must continue to be known by the rightful name bestowed by Alaska’s Koyukon Athabascans, who have stewarded the land since time immemorial."" Is Murkowski right that the mountain has been called Denali for ""thousands of years""? PolitiFact asked four Native Alaskan language and cultural experts and a former cartographer involved in the 2015 name change to weigh in. ""It is not just thousands of years, but over 10,000 years,"" said James Kari, a linguist and an emeritus professor at the Native Alaskan Language Center who has specialized in the Dené or Athabaskan language family for 50 years. Native Alaskan place names have been in use for more than 13,000 years, Kari said. There is little written evidence of place names related to Native Alaskan tribes because they primarily have an oral tradition. But experts agree the name ""Denali"" has been passed down over several generations. ""We have this overlap of history and archaeology and geology that align with validating the longevity of Dené place names,"" said Taa’ąįį Ch’igiiontà, the Gwich'in language director of the Neetsaii Gwich'in tribe, citing other Native Alaskan place names that have endured for centuries. The Gwich'in language is part of the Athabascan language family. ""So, I think it's quite accurate for Murkowski to say that the name is thousands of years old."" A 2016 National Park Service article said, ""‘McKinley’ was incompatible with the Athabascan worldview because they rarely name places after people."" We asked Murkowski’s office for further information but received no reply. Trump’s order said the interior secretary shall reinstate the name Mount McKinley; the Senate has yet to confirm Trump’s interior secretary nominee, former North Dakota Gov. Doug Burgum. Disputes over the mountain’s name are not new In 1975, Alaska’s Legislature passed a resolution requesting the mountain’s name to revert to Denali and Gov. Jay Hammond petitioned the federal government with this request. But the Ohio congressional delegation (where McKinley had been governor) blocked attempts to change the name. After McKinley’s assassination in 1901, ""there was just an outcry of grief, of course, (and) that they thought: ‘We need to remember this man, let's rename that mountain in Alaska, make it McKinley’ and it stayed that way,"" said Douglas L. Vandegraft, the Domestic Names Committee’s former chairman and retired cartographer for the Interior Department. Despite that, Native Alaskans continued to refer to the mountain as Denali. For Indigenous people, the government’s use of native names for places is important after centuries of colonization that sought to erase native culture and identity. ""It feels to some people like a small thing, but for Indigenous people, it's really important because it's a matter of recognizing that we are here, that we were stewards of these lands in many cases for millennia,"" Forest S. Haven, assistant professor of anthropology and Alaska Native Studies at the University of Alaska Southeast, said. ""Returning these place names points to that. It brings indigenous people into the present and puts us on the land in a way that we historically always were."" Our ruling Murkowski said, ""Our nation’s tallest mountain … has been called Denali for thousands of years."" Four Native Alaskan scholars and a retired Interior Department official who researched the history of the name agree that Denali was the name of the mountain for thousands of years. But for nearly a century, from 1917 to 2015, the mountain was officially called Mount McKinley. Murkowski’s statement is accurate but needs additional information. We rate it Mostly True."
,MOSTLY FALSE,Mike Johnson,"“If there is culpability for what happened, there really need to be conditions that follow that aid. It’s not unprecedented, by the way. After Katrina, in my state, there were conditions placed upon the funds. It happened after Hurricane Sandy, up in the northeast. There’s a tradition of doing this.”",,2025-01-21,,Washington Post,,https://www.washingtonpost.com/politics/2025/01/28/johnsons-misleading-claim-that-conditions-were-placed-katrina-sandy-aid/,,"Trump, when he visited North Carolina last week, said he wanted to get rid of the Federal Emergency Management Agency (FEMA) and simply have states submit a bill for reimbursement from the federal government. But that’s already largely how the system works, with FEMA repaying states for most of their expenses during a natural disaster. Congress then provides additional aid to help rebuild devastated areas and to fund improvements. Katrina and other hurricanes in 2005 caused such devastation in Louisiana and neighboring states — insured losses were estimated by insurance companies to total $57 billion — that 11 federal departments and four federal agencies provided nearly $122 billion in federal assistance to the Gulf Coast states, according to the Congressional Research Service. As a matter of course, congressional appropriations for disaster relief have conditions that determine eligibility, but that’s clearly not what Johnson is talking about. Such bills also include demands for regular reports from agencies handling the funding. Congressional appropriations often contain clauses that might withhold some funding unless certain parameters are met. We found that one Katrina bill authorized $12 million for a Louisiana hurricane protection study but stipulated the money would not be provided “until the State of Louisiana establishes a single state or quasistate entity to act as local sponsor for construction, operation and maintenance of all of the hurricane, storm damage reduction and flood control projects in the greater New Orleans and southeast Louisiana area.” But this was a relatively minor condition regarding a small amount of money, given the overall size of the rescue package. We can find virtually no news coverage of this condition by Congress — and there was wide agreement the previous system did not work. Previously, five different levee districts operated as separate local sponsors for federally built flood protection. The state in 2006 established the Coastal Protection and Restoration Authority to oversee the levee districts. Congress eventually provided $14.5 billion to the Army Corps of Engineers to build a flood protection system that held firm in 2021 against Hurricane Ida. As for the Sandy legislation, Republicans in 2013 sought to amend $17 billion in relief to require a reduction in unrelated domestic spending — but that amendment was defeated. In defense of Johnson’s statement, his office pointed to the $12 million appropriation we had identified — which was rather minor in the context of almost $122 billion in aid. The office could not point to conditions on Sandy aid, and we couldn’t find any either. His office also highlighted some bills that over time have added broad conditions to aid, such as the Disaster Mitigation Act of 2000, which required states and others to develop and update hazard mitigation plans as a condition to receive certain types of FEMA assistance, and the Post-Katrina Emergency Management Reform Act of 2006, which required states to include a catastrophic incident annex in state emergency preparedness plans that are required as a condition for assistance. The office also noted that Congress has placed conditions on community development block grants, required cost-sharing by states and demanded oversight of spending. But these are all general — not specific to a particular disaster such as the California wildfires. The Pinocchio Test Johnson suggested that congressional conditions imposed on aid after a disaster is “not unprecedented” and part of “a tradition.” As examples, he pointed to aid provided after Hurricanes Katrina and Sandy. But that’s greatly overstating the case. In Katrina, the only item we could find placed conditions on just $12 million in aid — out of tens of billions. We turned up nothing on Sandy. In reality, the tradition is that, after a disaster, virtually no conditions are placed on aid that would require a state to make policy changes. What would be unprecedented would be tying the aid to policy adjustments that have nothing to do with the disaster, such as mandating voter ID. Johnson earns Three Pinocchios."
,FALSE,Threads posts,A proposed constitutional amendment “would allow anyone to run for a 3rd term. Including — Barack Obama.”,,2025-01-23,,PolitiFact,,https://www.politifact.com/factchecks/2025/jan/27/threads-posts/no-this-proposed-constitutional-amendment-wouldnt/,,"The U.S. Constitution limits how long someone can serve as president. According to the 22nd Amendment, ""No person shall be elected to the office of the president more than twice, and no person who has held the office of president, or acted as president, for more than two years of a term to which some other person was elected president shall be elected to the office of the president more than once."" That precludes President Donald Trump from re-election in 2028. But on Jan. 23, U.S. Rep. Andy Ogles, R-Tenn., introduced a House joint resolution ""to allow Trump to serve a third term,"" his press release said. Some social media users flagged what they perceived as a snag for the Trump faithful. Sign up for PolitiFact texts ""So MAGA now wants to allow presidents to have a 3rd term?"" a Jan. 23 Threads post said. ""One small problem with that. It would allow ANYONE to run for a 3rd term. Including -- Barack Obama."" This post was flagged as part of Meta’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Meta, which owns Facebook, Instagram and Threads.) But the resolution doesn’t propose changing the 22nd Amendment so that former President Barack Obama — or any other president who served two consecutive terms — could run. Ogles wants the amended amendment to say: ""No person shall be elected to the office of the president more than three times, nor be elected to any additional term after being elected to two consecutive terms, and no person who has held the office of the president, or acted as president, for more than two years of a term to which some other person was elected president shall be elected to the office of the president more than twice."" That means former President Grover Cleveland, who died in 1908 and served two nonconsecutive presidential terms, would have been the only other former U.S. president eligible to run for reelection after serving two terms under the proposed amendment. For the Constitution to be amended, Ogles’ bill would need to be approved by a two-thirds vote in both the House and Senate, and then ratified by three-fourths of the states. We rate claims this amendment would let Obama from for a third term False."
